customer_id,region,city_tier,segment,signup_month,age_group,member_level,acquisition_source
C000001,华中,二线,新客,2025-12,18-24,金卡,线下活动
C000002,华南,新一线,高价值,2026-04,55+,银卡,直播引流
C000003,华东,三线及以下,价格敏感,2025-12,25-34,普通,直播引流
C000004,华北,新一线,沉睡,2026-03,25-34,普通,线下活动
C000005,华中,二线,沉睡,2026-04,18-24,金卡,自然搜索
C000006,华中,新一线,新客,2025-12,35-44,银卡,自然搜索
C000007,华东,二线,高价值,2026-05,18-24,银卡,线下活动
C000008,华东,新一线,成长型,2026-03,35-44,普通,老客推荐
C000009,华中,三线及以下,新客,2025-08,55+,金卡,直播引流
C000010,华北,三线及以下,沉睡,2025-11,55+,普通,老客推荐
C000011,东北,二线,新客,2025-12,35-44,普通,内容种草
C000012,西南,三线及以下,价格敏感,2025-09,45-54,金卡,老客推荐
C000013,华东,二线,高价值,2026-03,55+,银卡,自然搜索
C000014,华北,一线,价格敏感,2026-06,45-54,银卡,内容种草
C000015,西南,新一线,成长型,2026-02,45-54,普通,直播引流
C000016,华中,三线及以下,价格敏感,2025-09,18-24,银卡,自然搜索
C000017,华南,一线,成长型,2025-09,35-44,普通,直播引流
C000018,华东,二线,新客,2025-09,25-34,金卡,自然搜索
C000019,华中,三线及以下,沉睡,2026-07,35-44,银卡,老客推荐
C000020,华东,新一线,成长型,2026-01,25-34,金卡,内容种草
C000021,华北,新一线,沉睡,2025-09,55+,金卡,直播引流
C000022,西南,一线,高价值,2026-02,55+,银卡,内容种草
C000023,华东,新一线,价格敏感,2025-12,55+,普通,直播引流
C000024,华南,一线,价格敏感,2026-04,25-34,银卡,直播引流
C000025,华中,三线及以下,价格敏感,2026-02,35-44,普通,自然搜索
C000026,华北,新一线,成长型,2026-07,55+,普通,内容种草
C000027,华东,新一线,价格敏感,2025-09,55+,普通,线下活动
C000028,华中,三线及以下,高价值,2025-09,25-34,银卡,老客推荐
C000029,华北,二线,新客,2026-05,45-54,普通,直播引流
C000030,华北,新一线,高价值,2026-05,18-24,普通,线下活动
C000031,华东,一线,成长型,2026-03,25-34,金卡,自然搜索
C000032,华东,二线,新客,2026-05,25-34,普通,自然搜索
C000033,华北,新一线,新客,2026-02,55+,普通,老客推荐
C000034,华南,二线,沉睡,2025-10,55+,普通,内容种草
C000035,华南,三线及以下,价格敏感,2026-06,55+,金卡,自然搜索
C000036,华东,二线,价格敏感,2026-02,18-24,银卡,线下活动
C000037,华南,新一线,沉睡,2025-09,45-54,普通,自然搜索
C000038,华南,新一线,成长型,2026-02,55+,银卡,内容种草
C000039,华南,新一线,价格敏感,2025-08,25-34,普通,自然搜索
C000040,华南,三线及以下,成长型,2025-09,35-44,普通,自然搜索
C000041,西南,三线及以下,价格敏感,2026-02,25-34,金卡,线下活动
C000042,华中,三线及以下,新客,2025-10,35-44,普通,内容种草
C000043,华东,二线,高价值,2025-10,45-54,普通,自然搜索
C000044,华北,二线,高价值,2026-04,45-54,金卡,自然搜索
C000045,华北,一线,高价值,2025-10,45-54,普通,自然搜索
C000046,华南,二线,沉睡,2025-11,18-24,银卡,自然搜索
C000047,华东,新一线,新客,2025-08,45-54,普通,线下活动
C000048,华南,二线,沉睡,2026-07,45-54,普通,老客推荐
C000049,华东,三线及以下,成长型,2025-08,35-44,金卡,线下活动
C000050,华中,二线,沉睡,2025-12,55+,银卡,线下活动
C000051,华中,二线,价格敏感,2026-07,45-54,金卡,直播引流
C000052,东北,新一线,价格敏感,2025-12,55+,金卡,内容种草
C000053,西南,二线,成长型,2026-06,25-34,银卡,内容种草
C000054,华北,一线,沉睡,2026-05,55+,银卡,老客推荐
C000055,东北,一线,沉睡,2025-10,55+,银卡,线下活动
C000056,华北,新一线,价格敏感,2026-03,35-44,普通,内容种草
C000057,华南,二线,高价值,2025-08,18-24,金卡,线下活动
C000058,西南,新一线,成长型,2026-05,35-44,银卡,老客推荐
C000059,华东,二线,价格敏感,2026-03,55+,普通,直播引流
C000060,华东,新一线,成长型,2026-05,18-24,金卡,内容种草
C000061,西南,新一线,沉睡,2026-02,45-54,金卡,线下活动
C000062,西南,一线,成长型,2025-09,18-24,金卡,直播引流
C000063,华北,三线及以下,沉睡,2025-09,45-54,黑金,直播引流
C000064,华北,三线及以下,沉睡,2026-03,18-24,普通,直播引流
C000065,华北,一线,价格敏感,2026-03,18-24,普通,线下活动
C000066,华东,二线,成长型,2026-01,55+,普通,内容种草
C000067,西南,一线,沉睡,2026-05,45-54,黑金,老客推荐
C000068,华南,新一线,新客,2025-12,18-24,普通,自然搜索
C000069,西南,新一线,成长型,2026-03,55+,银卡,老客推荐
C000070,华东,一线,高价值,2026-07,35-44,黑金,老客推荐
C000071,西南,新一线,成长型,2025-12,25-34,普通,内容种草
C000072,华中,新一线,沉睡,2026-04,35-44,普通,内容种草
C000073,华南,一线,价格敏感,2026-05,25-34,银卡,自然搜索
C000074,华东,二线,新客,2026-03,35-44,银卡,线下活动
C000075,华中,三线及以下,高价值,2026-02,35-44,银卡,线下活动
C000076,华中,三线及以下,成长型,2025-08,55+,金卡,直播引流
C000077,华北,新一线,高价值,2026-05,45-54,黑金,老客推荐
C000078,西南,二线,价格敏感,2026-07,18-24,普通,老客推荐
C000079,西南,二线,高价值,2025-10,18-24,银卡,内容种草
