promotion_id,month,category,promotion_type,discount_rate,coupon_cost_share,min_purchase_amount,promotion_goal
PR00001,2025-08,智能小家电,满减,0.1,1.0,399,拉新
PR00002,2025-08,智能小家电,直降,0.1,0.5,399,清库存
PR00003,2025-08,智能小家电,会员券,0.1,0.7,399,拉新
PR00004,2025-08,厨房电器,满减,0.08,1.0,0,拉新
PR00005,2025-08,厨房电器,直降,0.2,1.0,699,提升客单
PR00006,2025-08,厨房电器,会员券,0.1,0.7,699,提升客单
PR00007,2025-08,生活电器,满减,0.15,1.0,399,清库存
PR00008,2025-08,生活电器,直降,0.08,0.5,399,清库存
PR00009,2025-08,生活电器,会员券,0.1,0.5,0,清库存
PR00010,2025-08,个护健康,满减,0.1,0.7,0,拉新
PR00011,2025-08,个护健康,直降,0.08,0.7,0,清库存
PR00012,2025-08,个护健康,会员券,0.05,0.3,199,清库存
PR00013,2025-08,影音娱乐,满减,0.2,1.0,999,促活
PR00014,2025-08,影音娱乐,直降,0.25,1.0,199,清库存
PR00015,2025-08,影音娱乐,会员券,0.15,0.3,0,清库存
PR00016,2025-08,智能家居,满减,0.2,0.7,399,提升客单
PR00017,2025-08,智能家居,直降,0.08,0.5,199,促活
PR00018,2025-08,智能家居,会员券,0.2,1.0,999,清库存
PR00019,2025-08,数码配件,满减,0.08,1.0,0,促活
PR00020,2025-08,数码配件,直降,0.1,0.3,699,清库存
PR00021,2025-08,数码配件,会员券,0.2,0.7,0,拉新
PR00022,2025-08,办公设备,满减,0.25,0.7,0,促活
PR00023,2025-08,办公设备,直降,0.2,0.7,199,拉新
PR00024,2025-08,办公设备,会员券,0.05,0.3,699,清库存
PR00025,2025-09,智能小家电,满减,0.15,0.5,999,拉新
PR00026,2025-09,智能小家电,直降,0.05,0.3,699,促活
PR00027,2025-09,智能小家电,会员券,0.15,0.3,699,提升客单
PR00028,2025-09,厨房电器,满减,0.2,0.7,199,提升客单
PR00029,2025-09,厨房电器,直降,0.15,0.7,399,提升客单
PR00030,2025-09,厨房电器,会员券,0.25,0.3,999,促活
PR00031,2025-09,生活电器,满减,0.25,0.5,0,拉新
PR00032,2025-09,生活电器,直降,0.08,1.0,999,提升客单
PR00033,2025-09,生活电器,会员券,0.05,0.3,199,拉新
PR00034,2025-09,个护健康,满减,0.1,0.3,699,拉新
PR00035,2025-09,个护健康,直降,0.15,1.0,699,促活
PR00036,2025-09,个护健康,会员券,0.1,0.7,699,提升客单
PR00037,2025-09,影音娱乐,满减,0.1,0.7,399,清库存
PR00038,2025-09,影音娱乐,直降,0.2,0.5,699,提升客单
PR00039,2025-09,影音娱乐,会员券,0.08,0.5,699,促活
PR00040,2025-09,智能家居,满减,0.2,0.3,999,提升客单
PR00041,2025-09,智能家居,直降,0.08,0.5,0,清库存
PR00042,2025-09,智能家居,会员券,0.1,1.0,199,清库存
PR00043,2025-09,数码配件,满减,0.05,1.0,199,提升客单
PR00044,2025-09,数码配件,直降,0.05,0.7,999,促活
PR00045,2025-09,数码配件,会员券,0.2,0.3,199,清库存
PR00046,2025-09,办公设备,满减,0.15,0.3,999,促活
PR00047,2025-09,办公设备,直降,0.15,0.5,699,清库存
PR00048,2025-09,办公设备,会员券,0.1,1.0,199,促活
PR00049,2025-10,智能小家电,满减,0.1,0.5,399,清库存
PR00050,2025-10,智能小家电,直降,0.1,0.3,0,提升客单
PR00051,2025-10,智能小家电,会员券,0.08,0.3,0,清库存
PR00052,2025-10,厨房电器,满减,0.2,0.7,0,清库存
PR00053,2025-10,厨房电器,直降,0.2,0.3,699,拉新
PR00054,2025-10,厨房电器,会员券,0.25,0.7,699,拉新
PR00055,2025-10,生活电器,满减,0.2,1.0,199,清库存
PR00056,2025-10,生活电器,直降,0.2,0.3,699,拉新
PR00057,2025-10,生活电器,会员券,0.05,0.3,399,清库存
PR00058,2025-10,个护健康,满减,0.15,1.0,0,清库存
PR00059,2025-10,个护健康,直降,0.15,0.5,699,拉新
PR00060,2025-10,个护健康,会员券,0.08,0.3,199,提升客单
PR00061,2025-10,影音娱乐,满减,0.05,0.3,399,促活
PR00062,2025-10,影音娱乐,直降,0.15,0.7,699,促活
PR00063,2025-10,影音娱乐,会员券,0.15,0.5,0,促活
PR00064,2025-10,智能家居,满减,0.08,0.7,399,拉新
PR00065,2025-10,智能家居,直降,0.08,0.3,999,促活
PR00066,2025-10,智能家居,会员券,0.25,0.7,399,清库存
PR00067,2025-10,数码配件,满减,0.05,1.0,699,清库存
PR00068,2025-10,数码配件,直降,0.15,0.7,399,清库存
PR00069,2025-10,数码配件,会员券,0.08,0.5,999,清库存
PR00070,2025-10,办公设备,满减,0.15,0.5,199,清库存
PR00071,2025-10,办公设备,直降,0.08,0.5,699,清库存
PR00072,2025-10,办公设备,会员券,0.1,0.7,0,拉新
PR00073,2025-11,智能小家电,满减,0.15,0.3,0,促活
PR00074,2025-11,智能小家电,直降,0.05,0.5,999,拉新
