product_id,product_name,category,brand,list_price,unit_cost,launch_month,lifecycle_stage,supplier_id
P00001,智能小家电-001,智能小家电,品牌08,1109.89,571.54,2025-10,成长,S002
P00002,厨房电器-002,厨房电器,品牌15,1738.87,1084.64,2025-09,成熟,S003
P00003,生活电器-003,生活电器,品牌02,618.57,363.87,2025-09,成熟,S004
P00004,个护健康-004,个护健康,品牌09,630.25,381.84,2026-01,成熟,S005
P00005,影音娱乐-005,影音娱乐,品牌16,2123.78,1386.17,2025-08,新品,S006
P00006,智能家居-006,智能家居,品牌03,1538.38,814.83,2025-10,成长,S007
P00007,数码配件-007,数码配件,品牌10,317.16,214.77,2026-03,成熟,S008
P00008,办公设备-008,办公设备,品牌17,1807.19,1138.45,2025-12,成长,S009
P00009,智能小家电-009,智能小家电,品牌04,835.05,574.84,2025-08,成熟,S010
P00010,厨房电器-010,厨房电器,品牌11,1433.13,767.39,2025-12,成熟,S011
P00011,生活电器-011,生活电器,品牌18,635.03,334.27,2025-08,尾货,S012
P00012,个护健康-012,个护健康,品牌05,798.43,415.86,2025-09,成长,S013
P00013,影音娱乐-013,影音娱乐,品牌12,2916.73,2058.68,2026-01,新品,S014
P00014,智能家居-014,智能家居,品牌19,1703.93,1023.75,2025-09,尾货,S015
P00015,数码配件-015,数码配件,品牌06,157.31,88.01,2026-01,成长,S016
P00016,办公设备-016,办公设备,品牌13,1374.21,887.23,2026-01,成长,S017
P00017,智能小家电-017,智能小家电,品牌20,1389.07,921.84,2026-01,成长,S018
P00018,厨房电器-018,厨房电器,品牌07,1790.76,1179.13,2026-02,成熟,S019
P00019,生活电器-019,生活电器,品牌14,900.38,578.54,2025-10,成熟,S020
P00020,个护健康-020,个护健康,品牌01,788.73,506.42,2025-10,成长,S021
P00021,影音娱乐-021,影音娱乐,品牌08,2690.21,1703.24,2026-02,成熟,S022
P00022,智能家居-022,智能家居,品牌15,1108.83,550.19,2025-08,成长,S023
P00023,数码配件-023,数码配件,品牌02,147.97,106.06,2026-02,尾货,S024
